FID,OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,KCTA_NAME_,KCTA_ID,Region,Shape_Leng,Shape_Area
11,12,1,2,99,48201210100,Census Tract 2101,662530.000000000000000,36430.000000000000000,+29.7663846,-95.3513042,Near Northside,K002,Inner Loop,15033.406675800001000,7521890.159049999900000
12,13,1,2,110,48201210100,Census Tract 2101,662530.000000000000000,36430.000000000000000,+29.7663846,-95.3513042,Second Ward,K008,Inner Loop,15033.406675800001000,7521890.159049999900000
13,14,1,3,47,48201210400,Census Tract 2104,1814310.000000000000000,0.000000000000000,+29.7864497,-95.3622075,Fifth Ward,K003,Inner Loop,20724.774945400000000,19524869.233800001000000
14,15,1,3,58,48201210400,Census Tract 2104,1814310.000000000000000,0.000000000000000,+29.7864497,-95.3622075,Heights,K030,Inner Loop,20724.774945400000000,19524869.233800001000000
15,16,1,3,99,48201210400,Census Tract 2104,1814310.000000000000000,0.000000000000000,+29.7864497,-95.3622075,Near Northside,K002,Inner Loop,20724.774945400000000,19524869.233800001000000
16,17,1,4,47,48201210500,Census Tract 2105,2151966.000000000000000,0.000000000000000,+29.7952577,-95.3603828,Fifth Ward,K003,Inner Loop,20996.588338099999000,23158684.480799999000000
17,18,1,4,58,48201210500,Census Tract 2105,2151966.000000000000000,0.000000000000000,+29.7952577,-95.3603828,Heights,K030,Inner Loop,20996.588338099999000,23158684.480799999000000
18,19,1,4,99,48201210500,Census Tract 2105,2151966.000000000000000,0.000000000000000,+29.7952577,-95.3603828,Near Northside,K002,Inner Loop,20996.588338099999000,23158684.480799999000000
19,20,1,5,58,48201210600,Census Tract 2106,2333779.000000000000000,0.000000000000000,+29.8070404,-95.3653598,Heights,K030,Inner Loop,20320.657606199999000,25115289.624800000000000
20,21,1,5,66,48201210600,Census Tract 2106,2333779.000000000000000,0.000000000000000,+29.8070404,-95.3653598,Independence Heights,K033,BW 8,20320.657606199999000,25115289.624800000000000
21,22,1,5,99,48201210600,Census Tract 2106,2333779.000000000000000,0.000000000000000,+29.8070404,-95.3653598,Near Northside,K002,Inner Loop,20320.657606199999000,25115289.624800000000000
22,23,1,6,39,48201210700,Census Tract 2107,1128825.000000000000000,2661.000000000000000,+29.8063932,-95.3539843,Eastex - Jensen,K043,BW 8,15135.243554799999000,12176679.713600000000000
23,24,1,6,47,48201210700,Census Tract 2107,1128825.000000000000000,2661.000000000000000,+29.8063932,-95.3539843,Fifth Ward,K003,Inner Loop,15135.243554799999000,12176679.713600000000000
24,25,1,6,99,48201210700,Census Tract 2107,1128825.000000000000000,2661.000000000000000,+29.8063932,-95.3539843,Near Northside,K002,Inner Loop,15135.243554799999000,12176679.713600000000000
25,26,1,7,39,48201210800,Census Tract 2108,3660462.000000000000000,7752.000000000000000,+29.7952081,-95.3447230,Eastex - Jensen,K043,BW 8,33383.600642600002000,39475871.678099997000000
26,27,1,7,47,48201210800,Census Tract 2108,3660462.000000000000000,7752.000000000000000,+29.7952081,-95.3447230,Fifth Ward,K003,Inner Loop,33383.600642600002000,39475871.678099997000000
27,28,1,7,70,48201210800,Census Tract 2108,3660462.000000000000000,7752.000000000000000,+29.7952081,-95.3447230,Kashmere Gardens,K004,Inner Loop,33383.600642600002000,39475871.678099997000000
28,29,1,7,99,48201210800,Census Tract 2108,3660462.000000000000000,7752.000000000000000,+29.7952081,-95.3447230,Near Northside,K002,Inner Loop,33383.600642600002000,39475871.678099997000000
29,30,1,7,130,48201210800,Census Tract 2108,3660462.000000000000000,7752.000000000000000,+29.7952081,-95.3447230,Trinity / Houston Gardens,K047,BW 8,33383.600642600002000,39475871.678099997000000
30,31,1,8,39,48201210900,Census Tract 2109,1260606.000000000000000,0.000000000000000,+29.8041585,-95.3312426,Eastex - Jensen,K043,BW 8,15037.893394299999000,13566116.452400001000000
31,32,1,8,47,48201210900,Census Tract 2109,1260606.000000000000000,0.000000000000000,+29.8041585,-95.3312426,Fifth Ward,K003,Inner Loop,15037.893394299999000,13566116.452400001000000
